"[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)","[D510000] Statement of cash flows, direct method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
entity00409681_udf_CF_2020324162929420_CashFlowsFromUsedInFinancingActivities,장기미지급금의상환,decrease in long-term accounts payable,현금흐름표 [abstract],재무활동현금흐름,장기미지급금의상환,-43602736.0,,-41957763.0
dart_ProceedsFromBonds,사채의 발행,Proceeds from issuing  bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 발행,5880810000.0,,
dart_ProceedsFromConvertibleBonds,전환사채의 발행,issue convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 발행,,31000000000.0,
dart_RepaymentsOfConvertibleBonds,전환사채의 상환,Repayments of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 상환,2070906000.0,17524237000.0,1020100000.0
dart_ProceedsFromFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 증가,Proceeds from finance lease liabilities classified as financing activities,현금흐름표 [abstract],재무활동현금흐름,금융리스부채의 증가,,587777053.0,
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 상환,Repayments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,금융리스부채의 상환,1235033758.0,,
entity00409681_udf_CF_2020324155517762_CashFlowsFromUsedInFinancingActivities,신종자본증권의 상환,Compound financial instrument redemption,현금흐름표 [abstract],재무활동현금흐름,신종자본증권의 상환,-641715823.0,,
entity00409681_udf_CF_2020324163924478_CashFlowsFromUsedInFinancingActivities,신종자본증권발행,Compound financial instrument issue,현금흐름표 [abstract],재무활동현금흐름,신종자본증권발행,,,19747917760.0
dart_ProceedsFromExerciseOfConvertibleRightOrWarrant,신주인수권 행사,Proceeds from exercise of convertible right or warrant,현금흐름표 [abstract],재무활동현금흐름,신주인수권 행사,,2500000000.0,1480000000.0
dart_ProceedsFromExerciseOfShareOptions,주식선택권 행사,Proceeds from exercise of share options,현금흐름표 [abstract],재무활동현금흐름,주식선택권 행사,,2599250000.0,281000000.0
ifrs-full_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,유상증자,88810594623.0,,
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,475324470.0,,
entity00409681_udf_CF_20183222294922_StatementOfCashFlowsAbstract,재무활동 순현금유입(유출),cash inflows from financing activities,현금흐름표 [abstract],재무활동 순현금유입(유출),,150437646050.0,67235544255.0,67896281082.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,13219366604.0,-7485163556.0,14139038999.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,15584735101.0,23058301774.0,9132105146.0
entity00409681_udf_CF_201842171147178_StatementOfCashFlowsAbstract,현금및현금성자산의 환율변동효과,effect of exchanges rate changes on cash,현금흐름표 [abstract],현금및현금성자산의 환율변동효과,,-62859727.0,-55323766.0,-212842371.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,28741241978.0,15517814452.0,23058301774.0
